country,code,diabetes_prevalence_pct,military_exp_pct_gdp,hospital_beds_per_1000,gdp_per_capita_usd,life_expectancy_years,ncd_deaths_pct
Trinidad and Tobago,TTO,12.4,0.921416388185832,2.37,18967.2704636681,73.617,65.5386094677862
Lebanon,LBN,12.3,2.58828538225203,2.73,4473.27134441128,77.945,53.1922316479013
Chile,CHL,12.2,1.57780388625485,1.94,17994.5911957485,81.359,73.238409378537
Sao Tome and Principe,STP,12.1,,2.91,4084.40062145233,69.905,59.2554583489293
Solomon Islands,SLB,12.0,,2.7481000423,2086.18955928928,70.694,68.2202412099959
Bhutan,BTN,12.0,,2.16,4492.78400306618,73.262,71.6178949713212
China,CHN,11.9,1.71129740345228,5.63,13861.970224368,78.017,90.6830294831708
Morocco,MAR,11.9,3.51575374206256,0.73,4672.46826171875,75.493,74.0382001329403
Afghanistan,AFG,11.7,1.827933856217,0.35,416.871146273728,66.289,34.2581757399119
Antigua and Barbuda,ATG,11.6,,3.42,24819.2454680158,77.766,69.5647997186751
St. Lucia,LCA,11.4,,1.09,14745.8184305461,72.846,52.783217430709
Singapore,SGP,11.4,2.8417655746547,2.81,98813.9788172877,83.3463414634146,74.8934741824562
Indonesia,IDN,11.3,0.779216788275608,1.37,5059.62596411213,71.288,52.2221651280207
Grenada,GRD,11.3,,3.01,12106.8790105068,75.367,59.1081240898224
Cayman Islands,CYM,11.1,,3.0,104292.900672109,80.54,
Panama,PAN,11.1,0.974136501313688,1.95,19789.7308555826,79.775,66.6648604794993
Puerto Rico (US),PRI,10.9,,3.3199999332,40620.1526923687,81.902,81.3213973011794
Comoros,COM,10.8,,2.16,2055.75921566281,67.023,49.6982137530303
Montenegro,MNE,10.7,1.83253539270475,3.82,14816.8380299947,77.890243902439,65.2878281023609
Albania,ALB,10.6,2.03786228936679,2.9,12998.147869552,79.776,66.8816650654335
Brazil,BRA,10.6,0.972774559040702,2.52,10713.2856869511,76.023,57.4532112176043
India,IND,10.5,2.2712033218142,1.59,2702.47987141553,72.235,49.0788120326803
Croatia,HRV,10.5,1.79323424509814,5.6,27103.9116109268,78.9292682926829,80.4526629211494
Serbia,SRB,10.5,2.59513983105714,5.78,15262.0464193413,75.9682926829268,72.1603846623122
Portugal,PRT,10.5,1.53226822745255,3.48,32081.8106150292,82.3829268292683,80.252276521502
Kosovo,XKX,10.4,1.47659639574127,,7899.41841135202,78.222,
Nicaragua,NIC,10.4,0.545131278321867,0.97,3173.33724815085,75.1,48.8388724500471
Zambia,ZMB,10.3,1.33268361976463,2.0,1317.87771619597,66.528,31.1884695184438
Mongolia,MNG,10.3,0.742307300960191,8.58,7108.22743246244,72.3980487804878,73.5920720227814
Bosnia and Herzegovina,BIH,10.3,0.747079920408854,2.35,10381.8460703874,78.044,74.4536720622518
Azerbaijan,AZE,10.2,4.99292395978321,3.68,7410.72281660142,74.576,58.7616169551952
Sri Lanka,LKA,10.2,1.42539087177796,3.93,5002.07904353724,77.672,74.7596300151791
Thailand,THA,10.2,1.07876078016919,2.39,8056.56359761558,76.564,67.8360355331529
Andorra,AND,10.1,,2.56,54291.5026031052,84.188,
Israel,ISR,10.1,8.77671668977531,3.14,60336.8477964194,83.1975609756098,76.9411165249634
Malta,MLT,10.0,0.451123319487248,4.09,47906.9000057635,82.9560975609756,83.6186843555028
Cyprus,CYP,10.0,1.64735214954921,2.15,41783.08984375,81.821,82.7639427586355
"Korea, Dem. People's Rep.",PRK,9.9,,12.8,,73.743,79.0829101657933
Costa Rica,CRI,9.8,,1.14,19970.0989059622,80.996,66.8531126594543
Tanzania,TZA,9.8,1.154617473534,0.84,1318.81921386719,67.212,38.7530313726816
Spain,ESP,9.7,1.43210737406914,2.91,38627.2472148623,83.8878048780488,83.6146575866717
"Korea, Rep.",KOR,9.6,2.56205259386748,12.81,36226.9663637512,83.6292682926829,77.1761204119874
Maldives,MDV,9.5,,4.56,14614.7208116541,81.285,77.4854876052477
Cuba,CUB,9.4,2.87620737245072,4.33,9605.27914559614,78.264,61.0519651555228
Paraguay,PRY,9.4,0.933106143624753,1.04,7026.61906146401,73.982,48.3855434888407
Seychelles,SYC,9.3,1.17906851761683,2.63,19449.3836346926,76.2951219512195,69.0103164536549
Liberia,LBR,9.2,0.711206896551724,1.59,915.328972645548,62.324,34.9754513461152
Virgin Islands (U.S.),VIR,9.1,,18.6800003052,44320.909185774,80.7707317073171,
"Iran, Islamic Rep.",IRN,9.0,2.01043175751636,1.85,3924.38017821898,77.854,56.6159059697011
"Bahamas, The",BHS,8.9,,2.17,39455.4466548546,74.71,59.8215269334684
San Marino,SMR,8.6,,3.35,59871.3288101478,85.817,
"Venezuela, RB",VEN,8.6,0.500704497643446,0.99,3494.8138870244,72.673,68.6702087122928
St. Vincent and the Grenadines,VCT,8.6,,3.21,12561.769166789,71.382,74.4905390262306
Gabon,GAB,8.5,1.538206793748,1.95,8263.03321595,68.511,37.5854992309808
Haiti,HTI,8.5,0.068443100204951,4.9,2694.18969101404,65.119,54.7583415023085
Colombia,COL,8.4,3.35903368303836,1.7,8561.62091854449,77.913,57.6695609968946
Hungary,HUN,8.3,2.15630980446665,6.63,25907.4743259406,76.7243902439025,78.765258223988
"Hong Kong SAR, China",HKG,8.2,,4.89090013504028,56983.0663059906,85.3926829268293,
Equatorial Guinea,GNQ,8.2,0.982185856511218,2.1,6615.25245207167,63.906,31.8510347573694
"Congo, Rep.",COG,8.1,1.18596121569308,1.6,2514.73393584747,66.001,34.0124223199848
Poland,POL,8.1,4.15439387975356,6.04,28419.5777395638,78.409756097561,72.3337859834046
"Macao SAR, China",MAC,8.1,,5.29530000686646,75901.7461294198,83.3317073170732,
Japan,JPN,8.1,1.37139689580634,12.59,35951.0449549304,84.0363414634146,85.3434160587399
Benin,BEN,8.1,0.720549619940377,0.43,1658.27312662991,60.961,36.2332421726356
Tajikistan,TJK,8.0,1.84774975839365,4.04,1637.2542942547,71.927,57.1598288198902
Greece,GRC,8.0,3.12797536550149,4.27,26948.0070432791,81.8390243902439,77.1728999580882
Eswatini,SWZ,7.9,1.4440675502379,2.02,4108.25221093363,64.264,34.8193851012562
Uruguay,URY,7.8,2.31053827798919,2.44,25215.8238152781,78.287,71.8962090033314
